                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0378,                 4.1041,                 2.4081,                0.24748,                0.24841,                0.17999,                0.12502,                0.95865,                 3.0244,                 2.2351,              0.0079957,              0.0079957,              0.0079957
                     35,                 1.0286,                 4.0686,                 2.3951,                0.21893,                0.24508,                0.18709,                0.13015,                0.94446,                 3.0282,                 2.2133,               0.007935,               0.007935,               0.007935
                     36,                 1.0319,                  4.106,                 2.3938,                0.34981,                0.25544,                0.19085,                0.13168,                0.94609,                 3.0147,                 2.2156,              0.0078742,              0.0078742,              0.0078742
                     37,                 1.0293,                 4.0815,                 2.3876,                0.30441,                0.24493,                0.18709,                0.12835,                0.95161,                 3.0157,                 2.2004,              0.0078135,              0.0078135,              0.0078135
                     38,                 1.0315,                 4.0569,                 2.3953,                 0.3157,                0.25393,                0.20487,                0.14227,                 0.9203,                  2.934,                  2.173,              0.0077528,              0.0077528,              0.0077528
                     39,                 1.0275,                 4.0736,                 2.3869,                0.23854,                0.24431,                0.19559,                0.13908,                0.93692,                 2.9642,                 2.1908,               0.007692,               0.007692,               0.007692
                     40,                 1.0317,                 4.0523,                 2.3935,                0.25388,                0.25581,                0.19936,                0.14029,                0.91639,                 2.9135,                 2.1703,              0.0076313,              0.0076313,              0.0076313
                     41,                 1.0346,                 4.0324,                 2.3864,                 0.2819,                0.27752,                0.19867,                0.13976,                0.93016,                 2.9065,                 2.1778,              0.0075706,              0.0075706,              0.0075706
                     42,                 1.0216,                 4.0029,                 2.3804,                0.24959,                0.25857,                0.20365,                0.14284,                 0.9207,                 2.8617,                 2.1576,              0.0075098,              0.0075098,              0.0075098
                     43,                 1.0238,                  3.971,                 2.3772,                0.28134,                0.26191,                0.19922,                 0.1391,                0.91755,                 2.8747,                 2.1524,              0.0074491,              0.0074491,              0.0074491
                     44,                 1.0199,                 3.9775,                 2.3711,                0.26804,                0.24717,                 0.1993,                0.13929,                0.91637,                 2.8557,                 2.1604,              0.0073883,              0.0073883,              0.0073883
                     45,                 1.0194,                 3.9954,                 2.3803,                0.28276,                0.27573,                0.21102,                0.14996,                0.90513,                  2.814,                 2.1401,              0.0073276,              0.0073276,              0.0073276
                     46,                 1.0155,                 3.9899,                 2.3729,                0.30376,                0.27231,                0.21432,                0.15214,                0.89829,                 2.8303,                 2.1271,              0.0072669,              0.0072669,              0.0072669
                     47,                   1.01,                 3.9632,                  2.353,                0.28045,                0.26182,                0.21285,                0.15146,                0.90252,                 2.8101,                 2.1333,              0.0072061,              0.0072061,              0.0072061
                     48,                 1.0203,                 3.9438,                 2.3692,                0.31298,                0.29136,                0.22158,                0.15863,                0.90074,                 2.7932,                  2.123,              0.0071454,              0.0071454,              0.0071454
                     49,                 1.0102,                  3.968,                 2.3694,                0.22946,                0.27538,                0.21383,                0.15305,                0.90252,                 2.7898,                 2.1378,              0.0070847,              0.0070847,              0.0070847
                     50,                 1.0213,                 3.9588,                 2.3745,                0.29121,                0.27587,                0.21238,                0.15103,                0.90478,                 2.8012,                 2.1352,              0.0070239,              0.0070239,              0.0070239
                     51,                 1.0081,                 3.9238,                 2.3551,                0.28001,                0.27956,                0.21287,                0.15424,                0.89306,                 2.7958,                 2.1225,              0.0069632,              0.0069632,              0.0069632
                     52,                 1.0071,                 3.9243,                   2.36,                 0.2383,                0.29934,                0.21946,                0.15816,                0.89396,                 2.7342,                 2.1175,              0.0069025,              0.0069025,              0.0069025
                     53,                 1.0106,                  3.925,                 2.3604,                0.25736,                0.28842,                 0.2217,                 0.1593,                0.89314,                 2.7485,                 2.1192,              0.0068417,              0.0068417,              0.0068417
                     54,                 1.0092,                 3.9077,                 2.3588,                0.21907,                0.28181,                0.22034,                0.16027,                0.88858,                 2.7388,                 2.1063,               0.006781,               0.006781,               0.006781
                     55,                 1.0137,                 3.8848,                 2.3518,                0.26022,                0.30188,                0.22742,                0.16608,                0.88919,                 2.7299,                  2.114,              0.0067202,              0.0067202,              0.0067202
                     56,                 1.0077,                 3.8758,                 2.3622,                0.18926,                0.29591,                0.22884,                0.16631,                0.88556,                 2.7246,                 2.1146,              0.0066595,              0.0066595,              0.0066595
                     57,                 1.0058,                 3.8688,                 2.3494,                0.27875,                0.30097,                0.23503,                0.17126,                0.87995,                 2.7162,                 2.1055,              0.0065988,              0.0065988,              0.0065988
                     58,                 1.0034,                 3.8338,                 2.3479,                0.28122,                0.29865,                0.23175,                0.16862,                0.87919,                 2.7071,                 2.1024,               0.006538,               0.006538,               0.006538
                     59,                0.99988,                 3.8637,                 2.3489,                0.26204,                0.31353,                0.23349,                0.16778,                0.87906,                 2.6832,                 2.0994,              0.0064773,              0.0064773,              0.0064773
                     60,                0.99054,                  3.859,                 2.3465,                0.25499,                0.30133,                0.23839,                0.17332,                0.87834,                 2.6663,                 2.0954,              0.0064166,              0.0064166,              0.0064166
                     61,                 1.0014,                   3.82,                  2.333,                0.29197,                0.32458,                0.24531,                0.18193,                0.87403,                 2.6543,                 2.0915,              0.0063558,              0.0063558,              0.0063558
                     62,                0.99582,                 3.8279,                 2.3418,                0.24656,                0.30221,                0.24631,                0.18144,                 0.8728,                 2.6601,                 2.0927,              0.0062951,              0.0062951,              0.0062951
                     63,                0.99065,                 3.8139,                 2.3388,                0.27309,                0.30743,                0.24758,                0.18339,                 0.8699,                   2.66,                 2.0875,              0.0062344,              0.0062344,              0.0062344
                     64,                0.99613,                 3.8119,                  2.336,                0.28745,                0.30235,                0.25118,                0.18759,                0.86609,                 2.6475,                  2.078,              0.0061736,              0.0061736,              0.0061736
                     65,                0.99436,                 3.8136,                 2.3337,                 0.2883,                0.31203,                0.25417,                0.19047,                 0.8624,                 2.6283,                 2.0743,              0.0061129,              0.0061129,              0.0061129
                     66,                0.98242,                 3.7655,                 2.3202,                0.27842,                0.31678,                0.25114,                0.18726,                0.86076,                 2.6375,                 2.0679,              0.0060521,              0.0060521,              0.0060521
                     67,                0.99926,                 3.7754,                  2.335,                0.27876,                0.31259,                0.25126,                0.18813,                0.86014,                 2.6325,                 2.0657,              0.0059914,              0.0059914,              0.0059914
                     68,                0.97938,                 3.7613,                 2.3258,                0.28247,                0.32106,                0.25837,                0.19438,                0.86063,                 2.6196,                 2.0646,              0.0059307,              0.0059307,              0.0059307
                     69,                0.98356,                  3.708,                  2.312,                0.28771,                  0.329,                0.26351,                0.19895,                0.85629,                 2.5984,                 2.0563,              0.0058699,              0.0058699,              0.0058699
                     70,                 0.9842,                 3.7117,                  2.313,                0.29543,                0.32918,                0.26578,                0.20016,                0.85649,                 2.5959,                 2.0563,              0.0058092,              0.0058092,              0.0058092
                     71,                0.97717,                 3.7264,                 2.3167,                0.27475,                0.33666,                0.26833,                0.20315,                0.85293,                 2.5883,                 2.0566,              0.0057485,              0.0057485,              0.0057485
                     72,                0.97515,                 3.7055,                 2.3076,                0.27257,                0.33617,                0.26634,                0.20084,                0.85129,                 2.5857,                 2.0562,              0.0056877,              0.0056877,              0.0056877
                     73,                0.98237,                 3.6774,                 2.3095,                0.26766,                0.33498,                0.27259,                 0.2059,                0.85243,                 2.5763,                 2.0574,               0.005627,               0.005627,               0.005627
                     74,                0.97846,                 3.6831,                 2.3092,                0.27585,                0.33331,                 0.2749,                0.20865,                0.85051,                 2.5656,                 2.0538,              0.0055663,              0.0055663,              0.0055663
                     75,                0.97527,                 3.6481,                 2.2974,                0.28204,                0.32958,                0.27761,                0.21082,                0.85047,                 2.5474,                 2.0528,              0.0055055,              0.0055055,              0.0055055
                     76,                 0.9677,                 3.6872,                 2.3109,                0.28469,                0.33729,                0.27485,                0.20915,                0.85071,                 2.5408,                 2.0541,              0.0054448,              0.0054448,              0.0054448
                     77,                0.97224,                 3.6411,                 2.3037,                0.30908,                0.34808,                0.27604,                0.21026,                0.84786,                 2.5342,                 2.0506,               0.005384,               0.005384,               0.005384
                     78,                0.96942,                 3.6428,                 2.2923,                0.30191,                 0.3417,                0.27945,                0.21244,                0.84792,                 2.5244,                 2.0491,              0.0053233,              0.0053233,              0.0053233
                     79,                0.97296,                 3.6269,                 2.2932,                0.29899,                0.35029,                0.28111,                0.21378,                0.84793,                 2.5206,                 2.0478,              0.0052626,              0.0052626,              0.0052626
                     80,                0.96745,                 3.5932,                 2.2868,                0.26827,                0.35766,                0.28151,                0.21409,                0.84734,                 2.5153,                 2.0453,              0.0052018,              0.0052018,              0.0052018
                     81,                0.96676,                  3.591,                 2.2927,                0.27255,                0.35468,                0.28508,                0.21686,                0.84746,                 2.5112,                 2.0447,              0.0051411,              0.0051411,              0.0051411
                     82,                0.96758,                 3.5868,                 2.2807,                0.27521,                0.34744,                0.28642,                0.21781,                0.84704,                 2.5069,                  2.042,              0.0050804,              0.0050804,              0.0050804
                     83,                0.97234,                 3.5823,                 2.2891,                0.30998,                0.35246,                0.28795,                 0.2191,                0.84721,                 2.4981,                 2.0422,              0.0050196,              0.0050196,              0.0050196
                     84,                0.96588,                 3.5802,                 2.2876,                0.32146,                0.35404,                0.29136,                0.22175,                0.84629,                 2.4941,                 2.0405,              0.0049589,              0.0049589,              0.0049589
                     85,                0.95357,                 3.5182,                 2.2753,                0.31518,                0.35945,                 0.2925,                0.22241,                0.84492,                 2.4882,                 2.0385,              0.0048982,              0.0048982,              0.0048982
                     86,                0.95793,                 3.5469,                 2.2853,                0.32329,                0.35471,                0.29447,                0.22347,                0.84407,                 2.4818,                 2.0375,              0.0048374,              0.0048374,              0.0048374
                     87,                0.96054,                 3.4724,                  2.275,                0.28876,                0.35533,                0.29821,                0.22629,                0.84201,                 2.4761,                 2.0347,              0.0047767,              0.0047767,              0.0047767
