                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1402,                0.72531,                 1.4181,                0.93601,                0.96272,                0.95692,                 0.6063,                 1.2816,                0.55319,                 1.6113,               0.006535,               0.006535,               0.006535
                     37,                 1.1196,                 0.7208,                 1.3915,                0.93761,                0.95721,                 0.9668,                0.60828,                 1.2765,                0.55275,                 1.5936,               0.006436,               0.006436,               0.006436
                     38,                 1.1336,                0.71066,                 1.3952,                0.93459,                0.96178,                0.96104,                0.60583,                 1.3091,                0.54797,                 1.6257,               0.006337,               0.006337,               0.006337
                     39,                 1.1157,                0.69094,                 1.3884,                0.95873,                0.95966,                0.96629,                0.59976,                 1.3264,                0.54331,                 1.6583,               0.006238,               0.006238,               0.006238
                     40,                 1.1061,                0.68278,                 1.3867,                0.94375,                0.96174,                0.97019,                0.60773,                 1.3064,                 0.5606,                 1.6319,               0.006139,               0.006139,               0.006139
                     41,                 1.1094,                0.69042,                 1.3901,                  0.937,                0.94728,                 0.9534,                0.59562,                 1.3025,                0.56955,                 1.6316,                0.00604,                0.00604,                0.00604
                     42,                 1.0998,                0.68825,                  1.374,                0.94787,                0.93843,                0.96624,                0.60727,                 1.2968,                0.55098,                 1.6168,               0.005941,               0.005941,               0.005941
                     43,                 1.0691,                 0.6628,                 1.3582,                0.93622,                0.96612,                0.96599,                0.60986,                 1.2842,                0.52513,                 1.6196,               0.005842,               0.005842,               0.005842
                     44,                 1.0809,                0.67826,                 1.3706,                0.95652,                0.94055,                0.96657,                0.61787,                 1.2788,                 0.5516,                  1.627,               0.005743,               0.005743,               0.005743
                     45,                 1.0646,                0.67274,                 1.3666,                0.96516,                0.94094,                0.96415,                0.60485,                 1.3128,                0.55173,                 1.6112,               0.005644,               0.005644,               0.005644
                     46,                 1.0715,                0.66235,                 1.3607,                0.96221,                0.95966,                0.97206,                0.61332,                 1.2903,                 0.5354,                 1.5887,               0.005545,               0.005545,               0.005545
                     47,                 1.0515,                0.65445,                 1.3396,                0.94354,                0.95117,                0.95576,                0.62034,                 1.2456,                0.52223,                 1.5819,               0.005446,               0.005446,               0.005446
                     48,                 1.0488,                0.63736,                 1.3516,                0.95196,                0.96766,                0.96174,                0.61411,                 1.2707,                0.50875,                 1.6079,               0.005347,               0.005347,               0.005347
                     49,                 1.0476,                0.63864,                 1.3508,                0.93356,                0.95468,                0.96066,                0.62173,                 1.2766,                0.52511,                 1.5842,               0.005248,               0.005248,               0.005248
                     50,                 1.0287,                 0.6215,                 1.3248,                0.96196,                0.95329,                 0.9642,                0.62659,                 1.2534,                0.49346,                 1.5766,               0.005149,               0.005149,               0.005149
                     51,                 1.0333,                0.61891,                   1.32,                0.96264,                0.96603,                0.96614,                0.61475,                 1.2578,                0.49875,                 1.5781,                0.00505,                0.00505,                0.00505
                     52,                  1.014,                0.60655,                 1.3137,                0.95802,                0.96895,                0.96942,                0.61885,                 1.2767,                0.50538,                 1.6046,               0.004951,               0.004951,               0.004951
                     53,                 1.0344,                0.61583,                 1.3263,                0.96074,                0.95966,                0.96938,                0.61609,                 1.2826,                0.50982,                 1.5966,               0.004852,               0.004852,               0.004852
                     54,                  1.009,                 0.6228,                 1.3132,                0.95942,                0.95366,                0.95984,                0.61307,                 1.2927,                0.51913,                 1.6324,               0.004753,               0.004753,               0.004753
                     55,                 1.0068,                0.61087,                 1.3109,                0.95507,                0.94785,                0.96327,                0.61539,                 1.2643,                0.51726,                 1.6029,               0.004654,               0.004654,               0.004654
                     56,                0.99442,                0.60835,                 1.3021,                0.96067,                0.95966,                0.95553,                0.61347,                 1.2603,                0.50646,                 1.5972,               0.004555,               0.004555,               0.004555
                     57,                0.97606,                0.58151,                 1.2855,                0.94536,                0.95966,                0.95551,                0.59992,                 1.3018,                0.52104,                 1.6605,               0.004456,               0.004456,               0.004456
                     58,                 0.9604,                0.58059,                 1.2817,                0.96702,                0.96603,                0.96105,                0.62096,                 1.2516,                0.49341,                 1.6116,               0.004357,               0.004357,               0.004357
                     59,                0.99043,                0.59574,                  1.304,                0.96358,                0.95489,                0.96431,                0.62681,                 1.2644,                0.49176,                 1.6007,               0.004258,               0.004258,               0.004258
                     60,                0.94493,                0.57701,                 1.2834,                0.95061,                0.95966,                0.95336,                0.60449,                 1.2764,                0.50268,                 1.6403,               0.004159,               0.004159,               0.004159
                     61,                0.96529,                0.57941,                 1.2854,                0.95139,                0.95564,                0.96473,                 0.6291,                 1.2446,                0.48147,                 1.5897,                0.00406,                0.00406,                0.00406
                     62,                  0.951,                0.57107,                   1.27,                0.96148,                0.95393,                0.96535,                0.62963,                  1.256,                0.48206,                 1.6107,               0.003961,               0.003961,               0.003961
                     63,                0.93998,                 0.5569,                 1.2632,                0.96472,                0.96391,                0.96208,                0.62643,                 1.2705,                0.48476,                 1.6295,               0.003862,               0.003862,               0.003862
                     64,                0.95959,                0.56435,                 1.2811,                0.95559,                0.95931,                0.95263,                0.62101,                 1.2649,                0.49856,                 1.6288,               0.003763,               0.003763,               0.003763
                     65,                 0.9252,                0.54301,                 1.2534,                 0.9521,                0.95754,                0.95857,                0.63737,                 1.2582,                0.46699,                 1.5949,               0.003664,               0.003664,               0.003664
                     66,                0.92632,                0.55415,                 1.2453,                0.95957,                0.95739,                0.96427,                0.63599,                 1.2601,                0.48255,                  1.622,               0.003565,               0.003565,               0.003565
                     67,                0.92486,                0.54402,                 1.2525,                0.96449,                0.95117,                0.96191,                0.61874,                 1.2755,                0.48012,                 1.6382,               0.003466,               0.003466,               0.003466
                     68,                0.91396,                0.53912,                 1.2472,                0.96076,                0.95754,                0.95821,                0.62349,                 1.2626,                0.47673,                  1.623,               0.003367,               0.003367,               0.003367
                     69,                0.89022,                0.53761,                 1.2342,                0.95641,                0.96603,                0.95536,                0.61379,                 1.2958,                0.48364,                 1.6753,               0.003268,               0.003268,               0.003268
                     70,                 0.8923,                0.52708,                 1.2317,                0.94957,                0.95941,                0.96216,                0.63378,                  1.257,                0.47504,                 1.6183,               0.003169,               0.003169,               0.003169
                     71,                0.89483,                0.53565,                 1.2377,                0.94838,                 0.9448,                0.95618,                0.62733,                 1.2636,                0.47527,                 1.6615,                0.00307,                0.00307,                0.00307
                     72,                0.88944,                0.53571,                  1.235,                0.96061,                0.96391,                0.96393,                0.63259,                 1.2496,                0.47216,                 1.6164,               0.002971,               0.002971,               0.002971
                     73,                0.87441,                0.52467,                 1.2234,                0.96373,                0.95897,                0.96278,                0.64154,                 1.2385,                0.47225,                  1.609,               0.002872,               0.002872,               0.002872
                     74,                0.86889,                0.51422,                 1.2182,                0.94751,                0.96178,                0.96635,                0.63844,                 1.2608,                0.47452,                 1.6297,               0.002773,               0.002773,               0.002773
                     75,                0.86149,                0.52345,                 1.2111,                0.95912,                 0.9465,                0.95985,                0.62959,                  1.267,                0.47003,                 1.6521,               0.002674,               0.002674,               0.002674
                     76,                0.85578,                0.50885,                 1.2113,                0.96939,                0.96178,                0.96499,                0.62049,                 1.2712,                0.46287,                 1.6461,               0.002575,               0.002575,               0.002575
                     77,                0.86328,                0.50517,                 1.2103,                 0.9659,                0.96236,                 0.9609,                0.62898,                 1.2705,                0.45296,                 1.6469,               0.002476,               0.002476,               0.002476
                     78,                0.84235,                0.49346,                 1.2045,                0.95796,                0.96759,                0.96314,                  0.634,                  1.247,                0.46315,                 1.6259,               0.002377,               0.002377,               0.002377
                     79,                0.84817,                0.50131,                 1.2029,                0.96388,                 0.9633,                0.96592,                0.62668,                 1.2712,                0.46365,                 1.6412,               0.002278,               0.002278,               0.002278
                     80,                0.82636,                0.49451,                 1.1959,                0.95762,                0.95951,                0.95323,                 0.6277,                 1.2504,                0.46922,                 1.6386,               0.002179,               0.002179,               0.002179
                     81,                0.82135,                0.49478,                 1.1945,                 0.9518,                0.96603,                0.95901,                0.62985,                 1.2617,                0.45926,                 1.6336,                0.00208,                0.00208,                0.00208
                     82,                0.81517,                0.48033,                 1.1849,                0.95738,                0.95394,                0.96268,                0.63425,                 1.2458,                 0.4608,                 1.6343,               0.001981,               0.001981,               0.001981
                     83,                0.80408,                0.47926,                  1.174,                 0.9637,                0.95329,                 0.9597,                0.63518,                 1.2579,                0.46452,                 1.6514,               0.001882,               0.001882,               0.001882
                     84,                0.80045,                 0.4807,                 1.1768,                0.95961,                0.96815,                0.96141,                0.63681,                 1.2409,                0.45376,                 1.6401,               0.001783,               0.001783,               0.001783
                     85,                0.80569,                0.48337,                 1.1783,                0.96386,                0.96815,                0.96159,                0.63727,                 1.2478,                0.44969,                 1.6548,               0.001684,               0.001684,               0.001684
